Name,Nation,PRE_Date,PRE_Championship,PRE_Pos,PRE_100mH,PRE_HJ,PRE_Shot,PRE_200m,PRE_LJ,PRE_Jav,PRE_800m,PRE_Total,POST_Date,POST_Championship,POST_Pos,POST_100mH,POST_HJ,POST_Shot,POST_200m,POST_LJ,POST_Jav,POST_800m,POST_Total,DIFF_100mH,DIFF_HJ,DIFF_Shot,DIFF_200m,DIFF_LJ,DIFF_Jav,DIFF_800m,DIFF_Total
"Collonville, Marie",FRA,21/08/2004,"Olympics, Athens",7,1028,1041,684,863,908,843,912,6279,07/08/2005,"Worlds, Helsinki",6,1017,1041,685,847,943,776,939,6248,-11,0,1,-16,35,-67,27,-31
"Dobrynska, Natallia",UKR,21/08/2004,"Olympics, Athens",8,994,1003,841,885,921,746,865,6255,07/08/2005,"Worlds, Helsinki",9,976,1041,874,806,843,754,850,6144,-18,38,33,-79,-78,8,-15,-111
"Gomes, Naide",POR,21/08/2004,"Olympics, Athens",13,1039,1041,841,845,880,682,823,6151,07/08/2005,"Worlds, Helsinki",7,995,966,794,870,997,693,874,6189,-44,-75,-47,25,117,11,51,38
"Karpova, Irina",KAZ,21/08/2004,"Olympics, Athens",22,956,966,724,898,899,658,899,6000,07/08/2005,"Worlds, Helsinki",14,968,928,777,865,896,654,903,5991,12,-38,53,-33,-3,-4,4,-9
"Kesselschlager, Sonja",GER,21/08/2004,"Olympics, Athens",6,1068,928,829,866,981,725,890,6287,07/08/2005,"Worlds, Helsinki",10,981,966,797,814,899,781,875,6113,-87,38,-32,-52,-82,56,-15,-174
"Kluft, Carolina",SWE,21/08/2004,"Olympics, Athens",1,1093,1119,845,1052,1099,839,905,6952,07/08/2005,"Worlds, Helsinki",1,1096,1003,862,1010,1129,806,981,6887,3,-116,17,-42,30,-33,76,-65
"Ruckstuhl, Karin",NED,21/08/2004,"Olympics, Athens",16,1059,1041,752,925,819,604,908,6108,07/08/2005,"Worlds, Helsinki",8,1053,966,740,918,1014,607,876,6174,-6,-75,-12,-7,195,3,-32,66
"Simpson, Magaret",GHA,21/08/2004,"Olympics, Athens",9,1041,966,688,922,856,925,855,6253,07/08/2005,"Worlds, Helsinki",3,1043,966,749,892,877,984,864,6375,2,0,61,-30,21,59,9,122
"Skujyte, Austra",LTU,21/08/2004,"Olympics, Athens",2,974,928,955,903,943,852,880,6435,07/08/2005,"Worlds, Helsinki",4,947,1003,969,859,887,837,858,6360,-27,75,14,-44,-56,-15,-22,-75
"Sotherton, Kelly",GBR,21/08/2004,"Olympics, Athens",3,1059,1041,747,1022,1010,613,932,6424,07/08/2005,"Worlds, Helsinki",5,1075,1003,753,986,978,535,995,6325,16,-38,6,-36,-32,-78,63,-99
"Strataki, Aryiro",GRE,21/08/2004,"Olympics, Athens",15,1028,966,762,927,840,742,852,6117,07/08/2005,"Worlds, Helsinki",17,984,891,731,836,828,746,868,5884,-44,-75,-31,-91,-12,4,16,-233
"Szczepanska, Magdelena",POL,21/08/2004,"Olympics, Athens",21,921,928,780,860,843,760,920,6012,07/08/2005,"Worlds, Helsinki",19,947,891,797,801,759,801,884,5880,26,-37,17,-59,-84,41,-36,-132
"Wheeler, Kylie",AUS,21/08/2004,"Olympics, Athens",18,995,966,739,947,962,625,856,6090,07/08/2005,"Worlds, Helsinki",15,934,928,725,876,905,620,931,5919,-61,-38,-14,-71,-57,-5,75,-171
"Dobrynska, Natallia",UKR,07/08/2005,"Worlds, Helsinki",9,976,1041,874,806,843,754,850,6144,08/08/2006,"Europeans, Goteborg",6,1027,1054,809,890,959,732,885,6356,51,13,-65,84,116,-22,35,212
"Kluft, Carolina",SWE,07/08/2005,"Worlds, Helsinki",1,1096,1003,862,1010,1129,806,981,6887,08/08/2006,"Europeans, Goteborg",1,1072,1093,831,994,1056,801,893,6740,-24,90,-31,-16,-73,-5,-88,-147
"Oberer, Simone",SUI,07/08/2005,"Worlds, Helsinki",18,1011,1003,658,840,846,617,907,5882,08/08/2006,"Europeans, Goteborg",12,1030,978,667,869,918,675,910,6047,19,-25,9,29,72,58,3,165
"Ruckstuhl, Karin",NED,07/08/2005,"Worlds, Helsinki",8,1053,966,740,918,1014,607,876,6174,08/08/2006,"Europeans, Goteborg",2,1099,1016,744,960,1010,658,936,6423,46,50,4,42,-4,51,60,249
"Schwarzkopf, Lilli",GER,07/08/2005,"Worlds, Helsinki",13,985,928,727,825,810,786,932,5993,08/08/2006,"Europeans, Goteborg",3,1028,978,797,888,905,886,938,6420,43,50,70,63,95,100,6,427
"Sotherton, Kelly",GBR,07/08/2005,"Worlds, Helsinki",5,1075,1003,753,986,978,535,995,6325,08/08/2006,"Europeans, Goteborg",7,1091,941,812,1022,1010,478,936,6290,16,-62,59,36,32,-57,-59,-35
"Strataki, Aryiro",GRE,07/08/2005,"Worlds, Helsinki",17,984,891,731,836,828,746,868,5884,08/08/2006,"Europeans, Goteborg",9,1024,941,746,901,915,737,881,6145,40,50,15,65,87,-9,13,261
"Blonska, Lyudmyla",UKR,08/08/2006,"Europeans, Goteborg",5,1020,978,775,923,934,828,899,6357,26/08/2007,"Worlds, Osaka",2,1087,1132,823,972,1132,817,869,6832,67,154,48,49,198,-11,-30,475
"Delinkola, Vasiliki",GRE,08/08/2006,"Europeans, Goteborg",20,1034,903,741,882,747,741,751,5799,26/08/2007,"Worlds, Osaka",28,1014,867,756,881,840,709,678,5745,-20,-36,15,-1,93,-32,-73,-54
"Dobrynska, Natallia",UKR,08/08/2006,"Europeans, Goteborg",6,1027,1054,809,890,959,732,885,6356,26/08/2007,"Worlds, Osaka",8,994,941,949,895,887,787,874,6327,-33,-113,140,5,-72,55,-11,-29
"Dufour, Sylvie",SUI,08/08/2006,"Europeans, Goteborg",22,956,903,723,830,703,709,903,5727,26/08/2007,"Worlds, Osaka",27,964,903,771,846,759,662,900,5805,8,0,48,16,56,-47,-3,78
"Ennis-Hill, Jessica",GBR,08/08/2006,"Europeans, Goteborg",8,1075,1054,709,1023,908,603,915,6287,26/08/2007,"Worlds, Osaka",4,1129,1093,656,1064,953,630,944,6469,54,39,-53,41,45,27,29,182
"Kand, Kaie",EST,08/08/2006,"Europeans, Goteborg",25,954,903,686,824,750,565,931,5613,26/08/2007,"Worlds, Osaka",30,947,830,707,811,774,635,912,5616,-7,-73,21,-13,24,70,-19,3
"Kluft, Carolina",SWE,08/08/2006,"Europeans, Goteborg",1,1072,1093,831,994,1056,801,893,6740,26/08/2007,"Worlds, Osaka",1,1102,1171,848,1041,1122,821,927,7032,30,78,17,47,66,20,34,292
"Oberer, Simone",SUI,08/08/2006,"Europeans, Goteborg",12,1030,978,667,869,918,675,910,6047,26/08/2007,"Worlds, Osaka",22,1033,978,674,827,862,679,869,5922,3,0,7,-42,-56,4,-41,-125
"Oeser, Jennifer",GER,08/08/2006,"Europeans, Goteborg",4,1028,1054,765,878,937,831,883,6376,26/08/2007,"Worlds, Osaka",7,1049,1016,808,942,927,727,909,6378,21,-38,43,64,-10,-104,26,2
"Rinne, Salla",FIN,08/08/2006,"Europeans, Goteborg",19,1040,903,764,836,853,723,730,5849,26/08/2007,"Worlds, Osaka",26,1030,903,811,818,810,822,619,5813,-10,0,47,-18,-43,99,-111,-36
"Schwarzkopf, Lilli",GER,08/08/2006,"Europeans, Goteborg",3,1028,978,797,888,905,886,938,6420,26/08/2007,"Worlds, Osaka",5,1044,1016,727,879,902,946,925,6439,16,38,-70,-9,-3,60,-13,19
"Sotherton, Kelly",GBR,08/08/2006,"Europeans, Goteborg",7,1091,941,812,1022,1010,478,936,6290,26/08/2007,"Worlds, Osaka",3,1093,1054,803,1039,1066,513,942,6510,2,113,-9,17,56,35,6,220
"Strataki, Aryiro",GRE,08/08/2006,"Europeans, Goteborg",9,1024,941,746,901,915,737,881,6145,26/08/2007,"Worlds, Osaka",18,976,830,798,863,896,758,878,5999,-48,-111,52,-38,-19,21,-3,-146
"Bogdanova, Anna",RUS,26/08/2007,"Worlds, Osaka",10,1020,1016,749,887,994,666,911,6243,16/08/2008,"Olympics, Beijing",5,1111,1054,799,958,991,579,973,6465,91,38,50,71,-3,-87,62,222
"Chudzik, Kamila",POL,26/08/2007,"Worlds, Osaka",21,941,867,748,887,801,899,783,5926,16/08/2008,"Olympics, Beijing",14,1008,941,817,854,840,900,797,6157,67,74,69,-33,39,1,14,231
"Collonville, Marie",FRA,26/08/2007,"Worlds, Osaka",9,1031,1016,669,886,1062,654,926,6244,16/08/2008,"Olympics, Beijing",11,1040,1054,689,881,915,785,938,6302,9,38,20,-5,-147,131,12,58
"Da Silva, Lucimara",BRA,26/08/2007,"Worlds, Osaka",31,1014,903,553,874,837,626,794,5601,16/08/2008,"Olympics, Beijing",16,1043,1016,634,928,905,674,876,6076,29,113,81,54,68,48,82,475
"Dobrynska, Natallia",UKR,26/08/2007,"Worlds, Osaka",8,994,941,949,895,887,787,874,6327,16/08/2008,"Olympics, Beijing",1,1059,978,1015,944,1049,833,855,6733,65,37,66,49,162,46,-19,406
"Grabuste, Aiga",LAT,26/08/2007,"Worlds, Osaka",17,1001,941,730,889,856,778,824,6019,16/08/2008,"Olympics, Beijing",18,1010,941,707,914,962,649,867,6050,9,0,-23,25,106,-129,43,31
"Kand, Kaie",EST,26/08/2007,"Worlds, Osaka",30,947,830,707,811,774,635,912,5616,16/08/2008,"Olympics, Beijing",32,913,795,721,842,774,716,916,5677,-34,-35,14,31,0,81,4,61
"Keizer, Jolanda",NED,26/08/2007,"Worlds, Osaka",14,1003,941,809,940,819,734,856,6102,16/08/2008,"Olympics, Beijing",8,993,1016,871,984,896,720,890,6370,-10,75,62,44,77,-14,34,268
"Kesselschlager, Sonja",GER,26/08/2007,"Worlds, Osaka",13,1043,978,811,842,912,723,840,6149,16/08/2008,"Olympics, Beijing",15,1050,941,816,841,862,750,880,6140,7,-37,5,-1,-50,27,40,-9
"Kurban, Olga",RUS,26/08/2007,"Worlds, Osaka",19,993,867,738,938,912,678,872,5998,16/08/2008,"Olympics, Beijing",12,1011,941,783,948,874,722,913,6192,18,74,45,10,-38,44,41,194
"Marcussen, Ida",NOR,26/08/2007,"Worlds, Osaka",11,956,830,727,925,997,880,911,6226,16/08/2008,"Olympics, Beijing",20,968,867,725,885,868,809,893,6015,12,37,-2,-40,-129,-71,-18,-211
"Oeser, Jennifer",GER,26/08/2007,"Worlds, Osaka",7,1049,1016,808,942,927,727,909,6378,16/08/2008,"Olympics, Beijing",10,1040,978,769,917,899,812,945,6360,-9,-38,-39,-25,-28,85,36,-18
"Schwarzkopf, Lilli",GER,26/08/2007,"Worlds, Osaka",5,1044,1016,727,879,902,946,925,6439,16/08/2008,"Olympics, Beijing",7,1017,978,835,864,837,897,951,6379,-27,-38,108,-15,-65,-49,26,-60
"Sotherton, Kelly",GBR,26/08/2007,"Worlds, Osaka",3,1093,1054,803,1039,1066,513,942,6510,16/08/2008,"Olympics, Beijing",3,1097,1016,785,1040,953,622,1004,6517,4,-38,-18,1,-113,109,62,7
"Strataki, Aryiro",GRE,26/08/2007,"Worlds, Osaka",18,976,830,798,863,896,758,878,5999,16/08/2008,"Olympics, Beijing",23,971,830,742,844,840,767,899,5893,-5,0,-56,-19,-56,9,21,-106
"Tyminska, Karolina",POL,26/08/2007,"Worlds, Osaka",15,966,867,744,979,956,590,990,6092,16/08/2008,"Olympics, Beijing",6,1033,941,799,1040,1017,590,1008,6428,67,74,55,61,61,0,18,336
"Wheeler, Kylie",AUS,26/08/2007,"Worlds, Osaka",12,997,978,727,939,981,638,924,6184,16/08/2008,"Olympics, Beijing",9,1024,1093,731,954,883,741,943,6369,27,115,4,15,-98,103,19,185
"Zublin, Linda",SUI,26/08/2007,"Worlds, Osaka",20,1031,795,690,910,843,857,869,5995,16/08/2008,"Olympics, Beijing",29,993,759,684,888,771,806,842,5743,-38,-36,-6,-22,-72,-51,-27,-252
"Chudzik, Kamila",POL,16/08/2008,"Olympics, Beijing",14,1008,941,817,854,840,900,797,6157,16/08/2009,"Worlds, Berlin",3,1050,903,868,949,1023,835,843,6471,42,-38,51,95,183,-65,46,314
"Dobrynska, Natallia",UKR,16/08/2008,"Olympics, Beijing",1,1059,978,1015,944,1049,833,855,6733,16/08/2009,"Worlds, Berlin",4,1000,1016,916,885,978,731,918,6444,-59,38,-99,-59,-71,-102,63,-289
"Grabuste, Aiga",LAT,16/08/2008,"Olympics, Beijing",18,1010,941,707,914,962,649,867,6050,16/08/2009,"Worlds, Berlin",12,1010,867,745,842,975,735,859,6033,0,-74,38,-72,13,86,-8,-17
"Kand, Kaie",EST,16/08/2008,"Olympics, Beijing",32,913,795,721,842,774,716,916,5677,16/08/2009,"Worlds, Berlin",17,980,867,716,791,846,623,937,5760,67,72,-5,-51,72,-93,21,83
"Nana Djimou, Antoinette",FRA,16/08/2008,"Olympics, Beijing",17,1000,867,735,896,899,847,811,6055,16/08/2009,"Worlds, Berlin",7,1059,941,797,902,949,820,855,6323,59,74,62,6,50,-27,44,268
"Oeser, Jennifer",GER,16/08/2008,"Olympics, Beijing",10,1040,978,769,917,899,812,945,6360,16/08/2009,"Worlds, Berlin",2,1033,1016,813,952,981,796,902,6493,-7,38,44,35,82,-16,-43,133
"Singha Roy, Sushmitha",IND,16/08/2008,"Olympics, Beijing",31,963,867,613,948,843,663,808,5705,16/08/2009,"Worlds, Berlin",23,902,759,605,828,680,591,618,4983,-61,-108,-8,-120,-163,-72,-190,-722
"Strataki, Aryiro",GRE,16/08/2008,"Olympics, Beijing",23,971,830,742,844,840,767,899,5893,16/08/2009,"Worlds, Berlin",18,954,867,723,803,810,722,869,5748,-17,37,-19,-41,-30,-45,-30,-145
"Tarasova, Yuliya",UZB,16/08/2008,"Olympics, Beijing",25,974,867,701,946,825,731,741,5785,16/08/2009,"Worlds, Berlin",20,946,830,722,924,921,684,631,5658,-28,-37,21,-22,96,-47,-110,-127
"Zublin, Linda",SUI,16/08/2008,"Olympics, Beijing",29,993,759,684,888,771,806,842,5743,16/08/2009,"Worlds, Berlin",15,1014,759,738,883,756,919,865,5934,21,0,54,-5,-15,113,23,191
"Dobrynska, Natallia",UKR,16/08/2009,"Worlds, Berlin",4,1000,1016,916,885,978,731,918,6444,31/07/2010,"Europeans, Barcelona",2,1037,1054,920,959,1027,846,935,6778,37,38,4,74,49,115,17,334
"Ennis-Hill, Jessica",GBR,16/08/2009,"Worlds, Berlin",1,1135,1132,803,1054,940,735,932,6731,31/07/2010,"Europeans, Barcelona",1,1132,1093,797,1058,985,796,962,6823,-3,-39,-6,4,45,61,30,92
